subject_id,level,level_name,seed,rho_hat_T,delta_from_raw
sub-003_cc200,L2,+Bootstrap,2718,0.569783,-0.125969
sub-003_cc200,L3,+SB+Atten,2718,0.673087,-0.022666
sub-003_cc200,L4,+Prior,2718,0.787252,0.091499
sub-003_cc200,L5,Full BS-NET,2718,0.786709,0.090957
sub-003_cc200,L0,Raw,3141,0.695752,0.000000
sub-003_cc200,L1,+LW,3141,0.689751,-0.006001
sub-003_cc200,L2,+Bootstrap,3141,0.579841,-0.115911
sub-003_cc200,L3,+SB+Atten,3141,0.679084,-0.016668
sub-003_cc200,L4,+Prior,3141,0.795979,0.100227
sub-003_cc200,L5,Full BS-NET,3141,0.795663,0.099911
sub-004_cc200,L0,Raw,42,0.772673,0.000000
sub-004_cc200,L1,+LW,42,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,42,0.662336,-0.110338
sub-004_cc200,L3,+SB+Atten,42,0.772085,-0.000588
sub-004_cc200,L4,+Prior,42,0.828001,0.055328
sub-004_cc200,L5,Full BS-NET,42,0.834885,0.062212
sub-004_cc200,L0,Raw,123,0.772673,0.000000
sub-004_cc200,L1,+LW,123,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,123,0.671232,-0.101441
sub-004_cc200,L3,+SB+Atten,123,0.783257,0.010584
sub-004_cc200,L4,+Prior,123,0.833478,0.060805
sub-004_cc200,L5,Full BS-NET,123,0.828854,0.056181
sub-004_cc200,L0,Raw,2026,0.772673,0.000000
sub-004_cc200,L1,+LW,2026,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,2026,0.670170,-0.102503
sub-004_cc200,L3,+SB+Atten,2026,0.775597,0.002924
sub-004_cc200,L4,+Prior,2026,0.826918,0.054245
sub-004_cc200,L5,Full BS-NET,2026,0.834638,0.061965
sub-004_cc200,L0,Raw,777,0.772673,0.000000
sub-004_cc200,L1,+LW,777,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,777,0.665940,-0.106733
sub-004_cc200,L3,+SB+Atten,777,0.761022,-0.011651
sub-004_cc200,L4,+Prior,777,0.830160,0.057487
sub-004_cc200,L5,Full BS-NET,777,0.836485,0.063812
sub-004_cc200,L0,Raw,9999,0.772673,0.000000
sub-004_cc200,L1,+LW,9999,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,9999,0.660776,-0.111897
sub-004_cc200,L3,+SB+Atten,9999,0.774619,0.001946
sub-004_cc200,L4,+Prior,9999,0.825573,0.052900
sub-004_cc200,L5,Full BS-NET,9999,0.829721,0.057048
sub-004_cc200,L0,Raw,314,0.772673,0.000000
sub-004_cc200,L1,+LW,314,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,314,0.652099,-0.120574
sub-004_cc200,L3,+SB+Atten,314,0.749902,-0.022771
sub-004_cc200,L4,+Prior,314,0.834486,0.061813
sub-004_cc200,L5,Full BS-NET,314,0.829983,0.057310
sub-004_cc200,L0,Raw,628,0.772673,0.000000
sub-004_cc200,L1,+LW,628,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,628,0.665863,-0.106810
sub-004_cc200,L3,+SB+Atten,628,0.770045,-0.002628
sub-004_cc200,L4,+Prior,628,0.826266,0.053593
sub-004_cc200,L5,Full BS-NET,628,0.827794,0.055121
sub-004_cc200,L0,Raw,1414,0.772673,0.000000
sub-004_cc200,L1,+LW,1414,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,1414,0.660418,-0.112255
sub-004_cc200,L3,+SB+Atten,1414,0.761035,-0.011638
sub-004_cc200,L4,+Prior,1414,0.825237,0.052564
sub-004_cc200,L5,Full BS-NET,1414,0.829592,0.056919
sub-004_cc200,L0,Raw,3141,0.772673,0.000000
sub-004_cc200,L1,+LW,3141,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,3141,0.671782,-0.100891
sub-004_cc200,L3,+SB+Atten,3141,0.753340,-0.019333
sub-004_cc200,L4,+Prior,3141,0.823965,0.051292
sub-004_cc200,L5,Full BS-NET,3141,0.819574,0.046901
sub-004_cc200,L0,Raw,2718,0.772673,0.000000
sub-004_cc200,L1,+LW,2718,0.769810,-0.002863
sub-004_cc200,L2,+Bootstrap,2718,0.661734,-0.110939
sub-004_cc200,L3,+SB+Atten,2718,0.770428,-0.002245
sub-004_cc200,L4,+Prior,2718,0.823831,0.051158
sub-004_cc200,L5,Full BS-NET,2718,0.826044,0.053371
sub-005_cc200,L0,Raw,42,0.744842,0.000000
sub-005_cc200,L1,+LW,42,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,42,0.629481,-0.115361
sub-005_cc200,L3,+SB+Atten,42,0.771011,0.026170
sub-005_cc200,L4,+Prior,42,0.806834,0.061992
sub-005_cc200,L5,Full BS-NET,42,0.820860,0.076018
sub-005_cc200,L0,Raw,123,0.744842,0.000000
sub-005_cc200,L1,+LW,123,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,123,0.630040,-0.114801
sub-005_cc200,L3,+SB+Atten,123,0.792555,0.047714
sub-005_cc200,L4,+Prior,123,0.811591,0.066749
sub-005_cc200,L5,Full BS-NET,123,0.808541,0.063699
sub-005_cc200,L0,Raw,777,0.744842,0.000000
sub-005_cc200,L1,+LW,777,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,777,0.631575,-0.113267
sub-005_cc200,L3,+SB+Atten,777,0.750754,0.005912
sub-005_cc200,L4,+Prior,777,0.813612,0.068770
sub-005_cc200,L5,Full BS-NET,777,0.819373,0.074532
sub-005_cc200,L0,Raw,2026,0.744842,0.000000
sub-005_cc200,L1,+LW,2026,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,2026,0.636678,-0.108163
sub-005_cc200,L3,+SB+Atten,2026,0.774360,0.029518
sub-005_cc200,L4,+Prior,2026,0.809842,0.065001
sub-005_cc200,L5,Full BS-NET,2026,0.819405,0.074563
sub-005_cc200,L0,Raw,9999,0.744842,0.000000
sub-005_cc200,L1,+LW,9999,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,9999,0.618467,-0.126375
sub-005_cc200,L3,+SB+Atten,9999,0.752218,0.007377
sub-005_cc200,L4,+Prior,9999,0.810183,0.065341
sub-005_cc200,L5,Full BS-NET,9999,0.820090,0.075249
sub-005_cc200,L0,Raw,314,0.744842,0.000000
sub-005_cc200,L1,+LW,314,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,314,0.621789,-0.123053
sub-005_cc200,L3,+SB+Atten,314,0.750534,0.005692
sub-005_cc200,L4,+Prior,314,0.818497,0.073655
sub-005_cc200,L5,Full BS-NET,314,0.818020,0.073178
sub-005_cc200,L0,Raw,628,0.744842,0.000000
sub-005_cc200,L1,+LW,628,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,628,0.629056,-0.115786
sub-005_cc200,L3,+SB+Atten,628,0.750563,0.005721
sub-005_cc200,L4,+Prior,628,0.814036,0.069194
sub-005_cc200,L5,Full BS-NET,628,0.813491,0.068650
sub-005_cc200,L0,Raw,1414,0.744842,0.000000
sub-005_cc200,L1,+LW,1414,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,1414,0.627382,-0.117460
sub-005_cc200,L3,+SB+Atten,1414,0.747831,0.002990
sub-005_cc200,L4,+Prior,1414,0.805780,0.060939
sub-005_cc200,L5,Full BS-NET,1414,0.809678,0.064837
sub-005_cc200,L0,Raw,2718,0.744842,0.000000
sub-005_cc200,L1,+LW,2718,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,2718,0.622383,-0.122459
sub-005_cc200,L3,+SB+Atten,2718,0.764711,0.019870
sub-005_cc200,L4,+Prior,2718,0.810358,0.065517
sub-005_cc200,L5,Full BS-NET,2718,0.813009,0.068167
sub-005_cc200,L0,Raw,3141,0.744842,0.000000
sub-005_cc200,L1,+LW,3141,0.745497,0.000656
sub-005_cc200,L2,+Bootstrap,3141,0.626711,-0.118130
