Seed,Subject,Model,Network,Jaccard Overlap
123,4,BS-NET (2m),Visual,1.0
123,4,BS-NET (2m),Somatomotor,1.0
123,4,BS-NET (2m),Dorsal Attn,1.0
123,4,BS-NET (2m),Ventral Attn,1.0
123,4,BS-NET (2m),Limbic,1.0
123,4,BS-NET (2m),Control,1.0
123,4,BS-NET (2m),Default Mode,1.0
123,5,Raw FC (2m),Visual,0.9285714285714286
123,5,Raw FC (2m),Somatomotor,0.9333333333333333
123,5,Raw FC (2m),Dorsal Attn,0.9333333333333333
123,5,Raw FC (2m),Ventral Attn,0.9333333333333333
123,5,Raw FC (2m),Limbic,0.48148148148148145
123,5,Raw FC (2m),Control,0.48148148148148145
123,5,Raw FC (2m),Default Mode,1.0
123,5,BS-NET (2m),Visual,0.9285714285714286
123,5,BS-NET (2m),Somatomotor,0.9333333333333333
123,5,BS-NET (2m),Dorsal Attn,0.9333333333333333
123,5,BS-NET (2m),Ventral Attn,0.9333333333333333
123,5,BS-NET (2m),Limbic,0.48148148148148145
123,5,BS-NET (2m),Control,0.48148148148148145
123,5,BS-NET (2m),Default Mode,1.0
123,6,Raw FC (2m),Visual,0.8666666666666667
123,6,Raw FC (2m),Somatomotor,1.0
123,6,Raw FC (2m),Dorsal Attn,0.5185185185185185
123,6,Raw FC (2m),Ventral Attn,0.9333333333333333
123,6,Raw FC (2m),Limbic,0.41379310344827586
123,6,Raw FC (2m),Control,1.0
123,6,Raw FC (2m),Default Mode,0.8235294117647058
123,6,BS-NET (2m),Visual,0.8666666666666667
123,6,BS-NET (2m),Somatomotor,1.0
123,6,BS-NET (2m),Dorsal Attn,0.5185185185185185
123,6,BS-NET (2m),Ventral Attn,0.9333333333333333
123,6,BS-NET (2m),Limbic,0.41379310344827586
123,6,BS-NET (2m),Control,1.0
123,6,BS-NET (2m),Default Mode,0.8235294117647058
123,7,Raw FC (2m),Visual,1.0
123,7,Raw FC (2m),Somatomotor,1.0
123,7,Raw FC (2m),Dorsal Attn,0.41379310344827586
123,7,Raw FC (2m),Ventral Attn,0.7647058823529411
123,7,Raw FC (2m),Limbic,0.4642857142857143
123,7,Raw FC (2m),Control,0.8571428571428571
123,7,Raw FC (2m),Default Mode,0.9411764705882353
123,7,BS-NET (2m),Visual,1.0
123,7,BS-NET (2m),Somatomotor,1.0
123,7,BS-NET (2m),Dorsal Attn,0.41379310344827586
123,7,BS-NET (2m),Ventral Attn,0.7647058823529411
123,7,BS-NET (2m),Limbic,0.4642857142857143
123,7,BS-NET (2m),Control,0.8571428571428571
123,7,BS-NET (2m),Default Mode,0.9411764705882353
123,8,Raw FC (2m),Visual,1.0
123,8,Raw FC (2m),Somatomotor,1.0
123,8,Raw FC (2m),Dorsal Attn,0.7333333333333333
123,8,Raw FC (2m),Ventral Attn,1.0
123,8,Raw FC (2m),Limbic,0.9333333333333333
123,8,Raw FC (2m),Control,0.9285714285714286
123,8,Raw FC (2m),Default Mode,0.8333333333333334
123,8,BS-NET (2m),Visual,1.0
123,8,BS-NET (2m),Somatomotor,1.0
123,8,BS-NET (2m),Dorsal Attn,0.7333333333333333
123,8,BS-NET (2m),Ventral Attn,1.0
123,8,BS-NET (2m),Limbic,0.9333333333333333
123,8,BS-NET (2m),Control,0.9285714285714286
123,8,BS-NET (2m),Default Mode,0.8333333333333334
123,9,Raw FC (2m),Visual,0.4827586206896552
123,9,Raw FC (2m),Somatomotor,1.0
123,9,Raw FC (2m),Dorsal Attn,0.4827586206896552
123,9,Raw FC (2m),Ventral Attn,0.5185185185185185
123,9,Raw FC (2m),Limbic,0.4642857142857143
123,9,Raw FC (2m),Control,1.0
123,9,Raw FC (2m),Default Mode,1.0
123,9,BS-NET (2m),Visual,0.4827586206896552
123,9,BS-NET (2m),Somatomotor,1.0
123,9,BS-NET (2m),Dorsal Attn,0.4827586206896552
123,9,BS-NET (2m),Ventral Attn,0.5185185185185185
123,9,BS-NET (2m),Limbic,0.4642857142857143
123,9,BS-NET (2m),Control,1.0
123,9,BS-NET (2m),Default Mode,1.0
123,10,Raw FC (2m),Visual,0.9285714285714286
123,10,Raw FC (2m),Somatomotor,0.8
123,10,Raw FC (2m),Dorsal Attn,0.8
123,10,Raw FC (2m),Ventral Attn,0.4827586206896552
123,10,Raw FC (2m),Limbic,0.8235294117647058
123,10,Raw FC (2m),Control,0.4827586206896552
123,10,Raw FC (2m),Default Mode,0.9375
123,10,BS-NET (2m),Visual,0.9285714285714286
123,10,BS-NET (2m),Somatomotor,0.8571428571428571
123,10,BS-NET (2m),Dorsal Attn,0.3103448275862069
123,10,BS-NET (2m),Ventral Attn,0.5833333333333334
123,10,BS-NET (2m),Limbic,0.8235294117647058
123,10,BS-NET (2m),Control,0.875
123,10,BS-NET (2m),Default Mode,0.7894736842105263
123,11,Raw FC (2m),Visual,0.9333333333333333
123,11,Raw FC (2m),Somatomotor,0.9333333333333333
123,11,Raw FC (2m),Dorsal Attn,0.56
123,11,Raw FC (2m),Ventral Attn,1.0
123,11,Raw FC (2m),Limbic,0.39285714285714285
123,11,Raw FC (2m),Control,0.8125
123,11,Raw FC (2m),Default Mode,1.0
123,11,BS-NET (2m),Visual,0.875
123,11,BS-NET (2m),Somatomotor,0.875
123,11,BS-NET (2m),Dorsal Attn,0.6363636363636364
123,11,BS-NET (2m),Ventral Attn,1.0
123,11,BS-NET (2m),Limbic,0.2857142857142857
123,11,BS-NET (2m),Control,0.7647058823529411
123,11,BS-NET (2m),Default Mode,1.0
123,12,Raw FC (2m),Visual,0.4
123,12,Raw FC (2m),Somatomotor,0.6086956521739131
123,12,Raw FC (2m),Dorsal Attn,0.9333333333333333
123,12,Raw FC (2m),Ventral Attn,0.7777777777777778
123,12,Raw FC (2m),Limbic,0.9285714285714286
123,12,Raw FC (2m),Control,0.2727272727272727
123,12,Raw FC (2m),Default Mode,0.9411764705882353
123,12,BS-NET (2m),Visual,0.36363636363636365
123,12,BS-NET (2m),Somatomotor,0.6666666666666666
123,12,BS-NET (2m),Dorsal Attn,0.9333333333333333
123,12,BS-NET (2m),Ventral Attn,0.7777777777777778
123,12,BS-NET (2m),Limbic,0.9285714285714286
123,12,BS-NET (2m),Control,0.36363636363636365
123,12,BS-NET (2m),Default Mode,0.9411764705882353
123,13,Raw FC (2m),Visual,0.75
123,13,Raw FC (2m),Somatomotor,1.0
123,13,Raw FC (2m),Dorsal Attn,0.7333333333333333
123,13,Raw FC (2m),Ventral Attn,0.8666666666666667
123,13,Raw FC (2m),Limbic,1.0
123,13,Raw FC (2m),Control,0.9333333333333333
123,13,Raw FC (2m),Default Mode,0.9411764705882353
123,13,BS-NET (2m),Visual,0.9333333333333333
123,13,BS-NET (2m),Somatomotor,1.0
123,13,BS-NET (2m),Dorsal Attn,0.9285714285714286
123,13,BS-NET (2m),Ventral Attn,0.8666666666666667
123,13,BS-NET (2m),Limbic,0.8571428571428571
123,13,BS-NET (2m),Control,0.9333333333333333
123,13,BS-NET (2m),Default Mode,0.9411764705882353
123,14,Raw FC (2m),Visual,1.0
123,14,Raw FC (2m),Somatomotor,0.9285714285714286
123,14,Raw FC (2m),Dorsal Attn,1.0
123,14,Raw FC (2m),Ventral Attn,0.9333333333333333
123,14,Raw FC (2m),Limbic,1.0
123,14,Raw FC (2m),Control,1.0
123,14,Raw FC (2m),Default Mode,1.0
123,14,BS-NET (2m),Visual,1.0
123,14,BS-NET (2m),Somatomotor,0.8666666666666667
123,14,BS-NET (2m),Dorsal Attn,1.0
123,14,BS-NET (2m),Ventral Attn,0.9333333333333333
123,14,BS-NET (2m),Limbic,0.9333333333333333
123,14,BS-NET (2m),Control,0.4
123,14,BS-NET (2m),Default Mode,0.5714285714285714
123,15,Raw FC (2m),Visual,1.0
123,15,Raw FC (2m),Somatomotor,0.9333333333333333
123,15,Raw FC (2m),Dorsal Attn,1.0
123,15,Raw FC (2m),Ventral Attn,0.9285714285714286
123,15,Raw FC (2m),Limbic,0.9333333333333333
123,15,Raw FC (2m),Control,0.9285714285714286
123,15,Raw FC (2m),Default Mode,1.0
123,15,BS-NET (2m),Visual,1.0
123,15,BS-NET (2m),Somatomotor,0.9333333333333333
123,15,BS-NET (2m),Dorsal Attn,1.0
123,15,BS-NET (2m),Ventral Attn,0.9285714285714286
123,15,BS-NET (2m),Limbic,0.9333333333333333
123,15,BS-NET (2m),Control,0.9285714285714286
123,15,BS-NET (2m),Default Mode,1.0
123,16,Raw FC (2m),Visual,0.8666666666666667
123,16,Raw FC (2m),Somatomotor,0.8666666666666667
123,16,Raw FC (2m),Dorsal Attn,0.7647058823529411
123,16,Raw FC (2m),Ventral Attn,0.8666666666666667
123,16,Raw FC (2m),Limbic,0.9333333333333333
123,16,Raw FC (2m),Control,1.0
123,16,Raw FC (2m),Default Mode,0.8125
123,16,BS-NET (2m),Visual,0.8666666666666667
123,16,BS-NET (2m),Somatomotor,0.9333333333333333
123,16,BS-NET (2m),Dorsal Attn,0.9285714285714286
123,16,BS-NET (2m),Ventral Attn,0.8666666666666667
123,16,BS-NET (2m),Limbic,0.9333333333333333
123,16,BS-NET (2m),Control,1.0
123,16,BS-NET (2m),Default Mode,0.9375
123,17,Raw FC (2m),Visual,0.4666666666666667
123,17,Raw FC (2m),Somatomotor,0.9285714285714286
123,17,Raw FC (2m),Dorsal Attn,0.9333333333333333
123,17,Raw FC (2m),Ventral Attn,0.4666666666666667
123,17,Raw FC (2m),Limbic,0.9285714285714286
123,17,Raw FC (2m),Control,0.9285714285714286
123,17,Raw FC (2m),Default Mode,1.0
123,17,BS-NET (2m),Visual,1.0
123,17,BS-NET (2m),Somatomotor,0.9285714285714286
123,17,BS-NET (2m),Dorsal Attn,0.875
123,17,BS-NET (2m),Ventral Attn,0.8235294117647058
123,17,BS-NET (2m),Limbic,0.9285714285714286
123,17,BS-NET (2m),Control,0.7857142857142857
123,17,BS-NET (2m),Default Mode,1.0
123,18,Raw FC (2m),Visual,0.875
123,18,Raw FC (2m),Somatomotor,0.5384615384615384
123,18,Raw FC (2m),Dorsal Attn,1.0
