subject_id,seed,rho_hat_T,ci_lower,ci_upper,r_fc,pass,split_half_r,mean_abs_fc,snr,mean_ar1,n_low_var_rois,temporal_var,signal_var,noise_var
39,1039,0.9999,0.9855445753634444,0.9999,0.8105632578919317,True,0.43154670933483047,0.1386226066906017,3.8600665840341377,0.4519040827249263,0,1.1153650128214552,0.9688149967484805,0.25098401171514934
40,1040,0.9999,0.9999,0.9999,0.8209342061036744,True,0.44301796189036535,0.1407161345564367,3.700204549081973,0.4512109295313023,0,1.094662363296753,0.9197043004513185,0.24855498885311586
41,1041,0.9999,0.9999,0.9999,0.8403266582604125,True,0.4871087465028996,0.1438321651323042,3.9772253317854283,0.46922335946329147,0,1.1866334210345613,0.9882127258625922,0.2484678748183902
42,1042,0.9999,0.9605608713960961,0.9999,0.8073262798376739,True,0.44398783609525005,0.1360750454248154,3.4732659530553116,0.4412275629711839,0,1.0713881124770248,0.8559476086067928,0.24643883312587836
43,1043,0.9999,0.9874179589849813,0.9999,0.8312268547591614,True,0.4897433824292591,0.14486158038109195,3.8750406427408337,0.47257334972987297,0,1.1817110278735403,0.9726653024210781,0.2510077679425596
44,1044,0.9999,0.9999,0.9999,0.83424566573587,True,0.42106536378823867,0.14479461864334064,4.1639631849253975,0.47924506236508013,0,1.2029140174944328,1.0100869889249533,0.2425782707641903
45,1045,0.9999,0.9999,0.9999,0.8354727191107316,True,0.42606823847632946,0.14535483034504462,3.9486037907643805,0.46661808726966997,0,1.1692571134966034,0.9606177400343208,0.24328035704194115
46,1046,0.9999,0.9998701528523579,0.9999,0.8072899758660715,True,0.41964823634788906,0.1336093672882356,3.895217968704895,0.4703336391543976,0,1.1367281910023195,0.9476441969447648,0.24328399708523707
47,1047,0.9999,0.9629234246046098,0.9999,0.7978699201719789,True,0.4004984613095283,0.13492773692950824,3.4227522010081763,0.4304809964075193,0,1.0906032824433334,0.8688642689351113,0.25384959760720804
48,1048,0.9999,0.9983550436029969,0.9999,0.8218910010054141,True,0.4486327171760374,0.1425978054232498,3.873609869249699,0.44205683681778807,0,1.1554406727982038,0.9745196974626309,0.25157920656872734
49,1049,0.9999,0.9999,0.9999,0.8339500804931801,True,0.507955561128912,0.1500191120346987,3.625503450705058,0.4432771560549888,0,1.141009639754166,0.9196707533359125,0.25366704675375845
50,1050,0.9999,0.9999,0.9999,0.8467741600702968,True,0.4271988497299312,0.14243883189875395,3.9906454040866555,0.4831595748788318,0,1.2027025848130242,1.0076771274679124,0.2525098136847718
51,1051,0.9999,0.9999,0.9999,0.8284808864182708,True,0.5221128975749083,0.14489788374950732,3.7295507833781896,0.4421834876989599,0,1.191769463071887,0.9507762930912119,0.2549305126313385
52,1052,0.9999,0.9999,0.9999,0.8247280464714595,True,0.4163869800875337,0.14288482289598112,3.9332640045781337,0.4631261268791893,0,1.1974814066744928,0.9802953270207341,0.24923201846601614
53,1053,0.9999,0.9999,0.9999,0.8443393498540553,True,0.5783583805687282,0.1504149440544351,3.797034538365133,0.4412614930170499,0,1.252599713992994,0.9783429978500123,0.25765975736192587
54,1054,0.9999,0.9999,0.9999,0.8281185292577786,True,0.4032800600704422,0.14327694615219821,3.8727494235489397,0.4340326191247818,0,1.1806824440796655,0.9525510177740089,0.24596247099847293
55,1055,0.9999,0.9999,0.9999,0.8463622749101113,True,0.46703489666306597,0.1443201182799381,4.0715054724131585,0.4548860439107618,0,1.1571747645809751,0.9838786203507399,0.24164983370821813
56,1056,0.9999,0.9424125821480636,0.9999,0.78255960097548,True,0.46768688261225816,0.13476671708983537,3.9703752214887253,0.4547233379177074,0,1.181126514504769,0.9687956905590238,0.24400607915232903
57,1057,0.9999,0.9999,0.9999,0.8233334068032864,True,0.48380878895215,0.15363773113399704,4.078974427123991,0.4740904166563606,0,1.173499179869776,0.9882373162916683,0.24227592840989104
58,1058,0.9999,0.9989508312495673,0.9999,0.8135936884662084,True,0.41136056300992635,0.13899312625639754,3.8300712537586827,0.44493500925415236,0,1.148494045367966,0.9171496610057001,0.23946020850281705
59,1059,0.9999,0.9414746163300135,0.9999,0.7859259929938104,True,0.43972103110586347,0.1362949083565932,3.6328230588646613,0.4509384529686206,0,1.0960183946274118,0.9046116445120529,0.24901065365808495
60,1060,0.9999,0.9999,0.9999,0.8224297288166746,True,0.4916910812435373,0.14826465171744843,4.029597512206643,0.4624252079054509,0,1.2203962008600362,1.0169270331264288,0.2523644185420272
61,1061,0.9999,0.99309130090738,0.9999,0.801167228510271,True,0.5055665505414472,0.14684569913960085,3.8390220210396464,0.4574763910062185,0,1.1499495520542953,0.9513605535960727,0.24781325774693905
62,1062,0.9999,0.9999,0.9999,0.8346474487418367,True,0.45966571054339955,0.14253839725103595,4.097950988231582,0.4829577270720644,0,1.2083624504175907,1.011398773140205,0.24680597109255842
