Subject,Model,Network,Jaccard Overlap
21,Raw FC (2m),Control,0.56
21,Raw FC (2m),Default Mode,0.6875
21,BS-NET (2m),Visual,0.875
21,BS-NET (2m),Somatomotor,0.7368421052631579
21,BS-NET (2m),Dorsal Attn,0.3448275862068966
21,BS-NET (2m),Ventral Attn,0.8666666666666667
21,BS-NET (2m),Limbic,0.9333333333333333
21,BS-NET (2m),Control,0.56
21,BS-NET (2m),Default Mode,0.6875
22,Raw FC (2m),Visual,1.0
22,Raw FC (2m),Somatomotor,1.0
22,Raw FC (2m),Dorsal Attn,0.9333333333333333
22,Raw FC (2m),Ventral Attn,0.4642857142857143
22,Raw FC (2m),Limbic,0.5185185185185185
22,Raw FC (2m),Control,0.7647058823529411
22,Raw FC (2m),Default Mode,0.875
22,BS-NET (2m),Visual,1.0
22,BS-NET (2m),Somatomotor,1.0
22,BS-NET (2m),Dorsal Attn,0.9333333333333333
22,BS-NET (2m),Ventral Attn,0.4642857142857143
22,BS-NET (2m),Limbic,0.5185185185185185
22,BS-NET (2m),Control,0.7647058823529411
22,BS-NET (2m),Default Mode,0.875
23,Raw FC (2m),Visual,0.9333333333333333
23,Raw FC (2m),Somatomotor,0.9333333333333333
23,Raw FC (2m),Dorsal Attn,0.8666666666666667
23,Raw FC (2m),Ventral Attn,0.9285714285714286
23,Raw FC (2m),Limbic,1.0
23,Raw FC (2m),Control,0.9285714285714286
23,Raw FC (2m),Default Mode,1.0
23,BS-NET (2m),Visual,0.8235294117647058
23,BS-NET (2m),Somatomotor,0.8666666666666667
23,BS-NET (2m),Dorsal Attn,1.0
23,BS-NET (2m),Ventral Attn,1.0
23,BS-NET (2m),Limbic,1.0
23,BS-NET (2m),Control,0.7857142857142857
23,BS-NET (2m),Default Mode,1.0
24,Raw FC (2m),Visual,0.8235294117647058
24,Raw FC (2m),Somatomotor,0.75
24,Raw FC (2m),Dorsal Attn,0.9285714285714286
24,Raw FC (2m),Ventral Attn,0.7857142857142857
24,Raw FC (2m),Limbic,0.9333333333333333
24,Raw FC (2m),Control,0.6842105263157895
24,Raw FC (2m),Default Mode,0.75
24,BS-NET (2m),Visual,0.7777777777777778
24,BS-NET (2m),Somatomotor,0.75
24,BS-NET (2m),Dorsal Attn,0.7333333333333333
24,BS-NET (2m),Ventral Attn,0.6428571428571429
24,BS-NET (2m),Limbic,0.8235294117647058
24,BS-NET (2m),Control,0.8125
24,BS-NET (2m),Default Mode,0.9375
25,Raw FC (2m),Visual,1.0
25,Raw FC (2m),Somatomotor,1.0
25,Raw FC (2m),Dorsal Attn,0.9333333333333333
25,Raw FC (2m),Ventral Attn,0.9333333333333333
25,Raw FC (2m),Limbic,1.0
25,Raw FC (2m),Control,0.8571428571428571
25,Raw FC (2m),Default Mode,1.0
25,BS-NET (2m),Visual,1.0
25,BS-NET (2m),Somatomotor,0.4666666666666667
25,BS-NET (2m),Dorsal Attn,0.9333333333333333
25,BS-NET (2m),Ventral Attn,0.9333333333333333
25,BS-NET (2m),Limbic,1.0
25,BS-NET (2m),Control,0.8571428571428571
25,BS-NET (2m),Default Mode,0.5333333333333333
26,Raw FC (2m),Visual,0.8571428571428571
26,Raw FC (2m),Somatomotor,0.8666666666666667
