Seed,Subject,Model,Network,Jaccard
2026,1,Raw FC (2m),Ventral Attn,0.9333333333333333
2026,1,Raw FC (2m),Limbic,1.0
2026,1,Raw FC (2m),Control,0.9333333333333333
2026,1,Raw FC (2m),Default Mode,1.0
2026,1,BS-NET (2m),Visual,1.0
2026,1,BS-NET (2m),Somatomotor,1.0
2026,1,BS-NET (2m),Dorsal Attn,0.8571428571428571
2026,1,BS-NET (2m),Ventral Attn,0.9333333333333333
2026,1,BS-NET (2m),Limbic,1.0
2026,1,BS-NET (2m),Control,0.9333333333333333
2026,1,BS-NET (2m),Default Mode,1.0
2026,2,Raw FC (2m),Visual,0.56
2026,2,Raw FC (2m),Somatomotor,0.875
2026,2,Raw FC (2m),Dorsal Attn,0.39285714285714285
2026,2,Raw FC (2m),Ventral Attn,1.0
2026,2,Raw FC (2m),Limbic,1.0
2026,2,Raw FC (2m),Control,0.8125
2026,2,Raw FC (2m),Default Mode,1.0
2026,2,BS-NET (2m),Visual,0.56
2026,2,BS-NET (2m),Somatomotor,0.875
2026,2,BS-NET (2m),Dorsal Attn,0.39285714285714285
2026,2,BS-NET (2m),Ventral Attn,1.0
2026,2,BS-NET (2m),Limbic,1.0
2026,2,BS-NET (2m),Control,0.8125
2026,2,BS-NET (2m),Default Mode,1.0
2026,3,Raw FC (2m),Visual,0.7333333333333333
2026,3,Raw FC (2m),Somatomotor,0.7368421052631579
2026,3,Raw FC (2m),Dorsal Attn,0.9333333333333333
2026,3,Raw FC (2m),Ventral Attn,0.8571428571428571
2026,3,Raw FC (2m),Limbic,0.5333333333333333
2026,3,Raw FC (2m),Control,0.7647058823529411
2026,3,Raw FC (2m),Default Mode,0.9411764705882353
2026,3,BS-NET (2m),Visual,0.7333333333333333
2026,3,BS-NET (2m),Somatomotor,0.5384615384615384
2026,3,BS-NET (2m),Dorsal Attn,0.875
2026,3,BS-NET (2m),Ventral Attn,0.9285714285714286
2026,3,BS-NET (2m),Limbic,0.3793103448275862
2026,3,BS-NET (2m),Control,0.7647058823529411
2026,3,BS-NET (2m),Default Mode,0.9411764705882353
2026,4,Raw FC (2m),Visual,1.0
2026,4,Raw FC (2m),Somatomotor,0.9333333333333333
2026,4,Raw FC (2m),Dorsal Attn,0.4642857142857143
2026,4,Raw FC (2m),Ventral Attn,0.5185185185185185
2026,4,Raw FC (2m),Limbic,0.875
2026,4,Raw FC (2m),Control,0.8571428571428571
2026,4,Raw FC (2m),Default Mode,1.0
2026,4,BS-NET (2m),Visual,1.0
2026,4,BS-NET (2m),Somatomotor,0.9333333333333333
2026,4,BS-NET (2m),Dorsal Attn,0.4642857142857143
2026,4,BS-NET (2m),Ventral Attn,0.5185185185185185
2026,4,BS-NET (2m),Limbic,0.875
2026,4,BS-NET (2m),Control,0.8571428571428571
2026,4,BS-NET (2m),Default Mode,1.0
9999,0,Raw FC (2m),Visual,0.9333333333333333
9999,0,Raw FC (2m),Somatomotor,0.8125
9999,0,Raw FC (2m),Dorsal Attn,0.875
9999,0,Raw FC (2m),Ventral Attn,0.6666666666666666
9999,0,Raw FC (2m),Limbic,1.0
9999,0,Raw FC (2m),Control,1.0
9999,0,Raw FC (2m),Default Mode,0.875
9999,0,BS-NET (2m),Visual,0.9285714285714286
9999,0,BS-NET (2m),Somatomotor,0.8125
9999,0,BS-NET (2m),Dorsal Attn,0.875
9999,0,BS-NET (2m),Ventral Attn,0.6666666666666666
9999,0,BS-NET (2m),Limbic,0.875
9999,0,BS-NET (2m),Control,1.0
9999,0,BS-NET (2m),Default Mode,0.875
9999,1,Raw FC (2m),Visual,0.875
9999,1,Raw FC (2m),Somatomotor,0.9285714285714286
9999,1,Raw FC (2m),Dorsal Attn,1.0
9999,1,Raw FC (2m),Ventral Attn,1.0
9999,1,Raw FC (2m),Limbic,0.7857142857142857
9999,1,Raw FC (2m),Control,0.9333333333333333
9999,1,Raw FC (2m),Default Mode,0.9411764705882353
9999,1,BS-NET (2m),Visual,0.875
9999,1,BS-NET (2m),Somatomotor,0.9285714285714286
9999,1,BS-NET (2m),Dorsal Attn,1.0
9999,1,BS-NET (2m),Ventral Attn,1.0
9999,1,BS-NET (2m),Limbic,0.7857142857142857
9999,1,BS-NET (2m),Control,0.9333333333333333
9999,1,BS-NET (2m),Default Mode,0.9411764705882353
9999,2,Raw FC (2m),Visual,1.0
9999,2,Raw FC (2m),Somatomotor,0.9333333333333333
9999,2,Raw FC (2m),Dorsal Attn,1.0
9999,2,Raw FC (2m),Ventral Attn,1.0
