Seed,Subject,Model,ARI
2718,6,BS-NET (2m),0.7685763604665523
2718,7,Raw FC (2m),0.9160849830262806
2718,7,BS-NET (2m),0.9160849830262806
2718,8,Raw FC (2m),0.5116095507465632
2718,8,BS-NET (2m),0.5884750137831335
2718,9,Raw FC (2m),0.7774271509265291
2718,9,BS-NET (2m),0.6269659559686714
2718,10,Raw FC (2m),0.7281172760589789
2718,10,BS-NET (2m),0.6885132506160564
2718,11,Raw FC (2m),0.6705462294946855
2718,11,BS-NET (2m),0.6597872586426177
2718,12,Raw FC (2m),0.9524402476566013
2718,12,BS-NET (2m),0.9077079902767976
2718,13,Raw FC (2m),0.7931719271559555
2718,13,BS-NET (2m),0.7931719271559555
2718,14,Raw FC (2m),0.8164871259327308
2718,14,BS-NET (2m),0.9211107853614403
2718,15,Raw FC (2m),0.8385545479527343
2718,15,BS-NET (2m),0.8042044517724649
2718,16,Raw FC (2m),1.0
2718,16,BS-NET (2m),1.0
2718,17,Raw FC (2m),0.9550059782266692
2718,17,BS-NET (2m),1.0
2718,18,Raw FC (2m),0.8149027992239775
2718,18,BS-NET (2m),0.8149027992239775
2718,19,Raw FC (2m),0.7884282889784168
2718,19,BS-NET (2m),0.7884282889784168
3141,0,Raw FC (2m),0.6822842524396031
3141,0,BS-NET (2m),0.6414256722475901
3141,1,Raw FC (2m),0.8446819471080741
3141,1,BS-NET (2m),0.8446819471080741
3141,2,Raw FC (2m),0.9275823088879469
3141,2,BS-NET (2m),0.9275823088879469
3141,3,Raw FC (2m),0.6290603384726383
3141,3,BS-NET (2m),0.607180954927045
3141,4,Raw FC (2m),0.8149027992239775
3141,4,BS-NET (2m),0.8149027992239775
3141,5,Raw FC (2m),0.8829157118349049
3141,5,BS-NET (2m),0.7680407177423302
3141,6,Raw FC (2m),0.7832162259844558
3141,6,BS-NET (2m),0.7832162259844558
3141,7,Raw FC (2m),0.7243393650299856
3141,7,BS-NET (2m),0.7243452211700573
3141,8,Raw FC (2m),0.7445463948113457
3141,8,BS-NET (2m),0.743301423725698
3141,9,Raw FC (2m),0.8804082232838697
3141,9,BS-NET (2m),0.8804082232838697
3141,10,Raw FC (2m),0.7916541587688226
3141,10,BS-NET (2m),0.8199986073393217
3141,11,Raw FC (2m),0.8805927883707759
3141,11,BS-NET (2m),0.8805927883707759
3141,12,Raw FC (2m),0.9196840695097871
3141,12,BS-NET (2m),0.8761921067315984
3141,13,Raw FC (2m),0.894568912800332
3141,13,BS-NET (2m),0.8113411459556993
3141,14,Raw FC (2m),0.7308580664284237
3141,14,BS-NET (2m),0.7308580664284237
3141,15,Raw FC (2m),0.7691548288317047
3141,15,BS-NET (2m),0.6986940325054711
3141,16,Raw FC (2m),0.7354210461921764
3141,16,BS-NET (2m),0.7654399964086507
3141,17,Raw FC (2m),0.8140009662287468
3141,17,BS-NET (2m),0.8140009662287468
3141,18,Raw FC (2m),0.8298530549110595
3141,18,BS-NET (2m),0.8298530549110595
3141,19,Raw FC (2m),0.9006049307563537
3141,19,BS-NET (2m),0.9006049307563537
