subject_id,condition,seed,rho_hat_T,delta_from_full
50035_cc200,L_no_boot,42,0.959200,0.033113
50035_cc200,L_no_prior,42,0.899886,-0.026201
50035_cc200,L_no_atten,42,0.954536,0.028449
50035_cc200,L_full,123,0.923316,0.000000
50035_cc200,L_no_sb,123,0.871430,-0.051886
50035_cc200,L_no_lw,123,0.926164,0.002848
50035_cc200,L_no_boot,123,0.959200,0.035884
50035_cc200,L_no_prior,123,0.898357,-0.024958
50035_cc200,L_no_atten,123,0.954336,0.031020
50034_cc200,L_full,2718,0.895667,0.000000
50034_cc200,L_no_sb,2718,0.826409,-0.069258
50034_cc200,L_no_lw,2718,0.900394,0.004727
50034_cc200,L_no_boot,2718,0.938657,0.042989
50034_cc200,L_no_prior,2718,0.851177,-0.044490
50034_cc200,L_no_atten,2718,0.941129,0.045462
50035_cc200,L_full,777,0.927208,0.000000
50035_cc200,L_no_sb,777,0.868787,-0.058421
50035_cc200,L_no_lw,777,0.917471,-0.009737
50035_cc200,L_no_boot,777,0.959200,0.031992
50035_cc200,L_no_prior,777,0.908265,-0.018943
50035_cc200,L_no_atten,777,0.956252,0.029044
50034_cc200,L_full,3141,0.902958,0.000000
50034_cc200,L_no_sb,3141,0.826544,-0.076414
50034_cc200,L_no_lw,3141,0.898924,-0.004034
50034_cc200,L_no_boot,3141,0.938657,0.035699
50034_cc200,L_no_prior,3141,0.862024,-0.040934
50034_cc200,L_no_atten,3141,0.942966,0.040008
50035_cc200,L_full,2026,0.930593,0.000000
50035_cc200,L_no_sb,2026,0.860283,-0.070310
50035_cc200,L_no_lw,2026,0.926163,-0.004430
50035_cc200,L_no_boot,2026,0.959200,0.028607
50035_cc200,L_no_prior,2026,0.897671,-0.032922
50035_cc200,L_no_atten,2026,0.957009,0.026416
50035_cc200,L_full,9999,0.924342,0.000000
50035_cc200,L_no_sb,9999,0.863154,-0.061188
50035_cc200,L_no_lw,9999,0.928938,0.004595
50035_cc200,L_no_boot,9999,0.959200,0.034858
50035_cc200,L_no_prior,9999,0.893541,-0.030801
50035_cc200,L_no_atten,9999,0.960929,0.036587
50035_cc200,L_full,314,0.929195,0.000000
50035_cc200,L_no_sb,314,0.867050,-0.062145
50035_cc200,L_no_lw,314,0.928585,-0.000610
50035_cc200,L_no_boot,314,0.959200,0.030005
50035_cc200,L_no_prior,314,0.903721,-0.025474
50035_cc200,L_no_atten,314,0.959783,0.030588
50035_cc200,L_full,628,0.927340,0.000000
50035_cc200,L_no_sb,628,0.870237,-0.057103
50035_cc200,L_no_lw,628,0.930049,0.002710
50035_cc200,L_no_boot,628,0.959200,0.031860
50035_cc200,L_no_prior,628,0.897089,-0.030250
50035_cc200,L_no_atten,628,0.957766,0.030426
50035_cc200,L_full,1414,0.927857,0.000000
50035_cc200,L_no_sb,1414,0.873581,-0.054275
50035_cc200,L_no_lw,1414,0.924353,-0.003504
50035_cc200,L_no_boot,1414,0.959200,0.031343
50035_cc200,L_no_prior,1414,0.890947,-0.036910
50035_cc200,L_no_atten,1414,0.954091,0.026235
50035_cc200,L_full,2718,0.932666,0.000000
50035_cc200,L_no_sb,2718,0.871025,-0.061641
50035_cc200,L_no_lw,2718,0.929710,-0.002956
50035_cc200,L_no_boot,2718,0.959200,0.026534
50035_cc200,L_no_prior,2718,0.878283,-0.054383
50035_cc200,L_no_atten,2718,0.954325,0.021659
50036_cc200,L_full,42,0.909248,0.000000
50036_cc200,L_no_sb,42,0.833921,-0.075327
50036_cc200,L_no_lw,42,0.904210,-0.005038
50036_cc200,L_no_boot,42,0.950418,0.041170
50036_cc200,L_no_prior,42,0.880891,-0.028357
50036_cc200,L_no_atten,42,0.947663,0.038415
50036_cc200,L_full,123,0.907007,0.000000
50036_cc200,L_no_sb,123,0.834853,-0.072155
50036_cc200,L_no_lw,123,0.911733,0.004726
50036_cc200,L_no_boot,123,0.950418,0.043411
50036_cc200,L_no_prior,123,0.883823,-0.023184
50036_cc200,L_no_atten,123,0.947136,0.040129
50036_cc200,L_full,777,0.911193,0.000000
50036_cc200,L_no_sb,777,0.833582,-0.077611
50036_cc200,L_no_lw,777,0.903270,-0.007923
50036_cc200,L_no_boot,777,0.950418,0.039226
50036_cc200,L_no_prior,777,0.886113,-0.025079
50036_cc200,L_no_atten,777,0.948753,0.037561
50035_cc200,L_full,3141,0.927869,0.000000
50035_cc200,L_no_sb,3141,0.876917,-0.050952
50035_cc200,L_no_lw,3141,0.920244,-0.007625
50035_cc200,L_no_boot,3141,0.959200,0.031331
50035_cc200,L_no_prior,3141,0.894899,-0.032970
50035_cc200,L_no_atten,3141,0.960276,0.032407
50036_cc200,L_full,2026,0.916685,0.000000
50036_cc200,L_no_sb,2026,0.832858,-0.083827
50036_cc200,L_no_lw,2026,0.909905,-0.006780
50036_cc200,L_no_boot,2026,0.950418,0.033733
50036_cc200,L_no_prior,2026,0.885825,-0.030860
50036_cc200,L_no_atten,2026,0.943047,0.026362
50036_cc200,L_full,9999,0.910920,0.000000
50036_cc200,L_no_sb,9999,0.838533,-0.072386
50036_cc200,L_no_lw,9999,0.907843,-0.003077
50036_cc200,L_no_boot,9999,0.950418,0.039499
50036_cc200,L_no_prior,9999,0.880368,-0.030551
50036_cc200,L_no_atten,9999,0.949766,0.038847
50036_cc200,L_full,314,0.909884,0.000000
50036_cc200,L_no_sb,314,0.831860,-0.078024
50036_cc200,L_no_lw,314,0.906582,-0.003302
50036_cc200,L_no_boot,314,0.950418,0.040535
50036_cc200,L_no_prior,314,0.880716,-0.029168
50036_cc200,L_no_atten,314,0.947988,0.038104
50036_cc200,L_full,628,0.909811,0.000000
50036_cc200,L_no_sb,628,0.841289,-0.068522
50036_cc200,L_no_lw,628,0.912269,0.002459
50036_cc200,L_no_boot,628,0.950418,0.040608
50036_cc200,L_no_prior,628,0.870537,-0.039274
50036_cc200,L_no_atten,628,0.948187,0.038377
50037_cc200,L_full,123,0.885041,0.000000
50037_cc200,L_no_sb,123,0.800402,-0.084639
50037_cc200,L_no_lw,123,0.888214,0.003173
50037_cc200,L_no_boot,123,0.938327,0.053286
50037_cc200,L_no_prior,123,0.854356,-0.030685
50037_cc200,L_no_atten,123,0.930011,0.044970
50036_cc200,L_full,1414,0.911866,0.000000
50036_cc200,L_no_sb,1414,0.848140,-0.063726
50036_cc200,L_no_lw,1414,0.911671,-0.000195
50036_cc200,L_no_boot,1414,0.950418,0.038553
50036_cc200,L_no_prior,1414,0.873669,-0.038197
50036_cc200,L_no_atten,1414,0.942455,0.030590
50037_cc200,L_full,42,0.885282,0.000000
50037_cc200,L_no_sb,42,0.795684,-0.089598
50037_cc200,L_no_lw,42,0.876321,-0.008961
50037_cc200,L_no_boot,42,0.938327,0.053045
50037_cc200,L_no_prior,42,0.850467,-0.034815
50037_cc200,L_no_atten,42,0.932014,0.046732
50036_cc200,L_full,2718,0.916522,0.000000
50036_cc200,L_no_sb,2718,0.834851,-0.081671
50036_cc200,L_no_lw,2718,0.912767,-0.003755
50036_cc200,L_no_boot,2718,0.950418,0.033897
50036_cc200,L_no_prior,2718,0.858007,-0.058515
50036_cc200,L_no_atten,2718,0.944126,0.027604
50036_cc200,L_full,3141,0.912941,0.000000
50036_cc200,L_no_sb,3141,0.839283,-0.073658
50036_cc200,L_no_lw,3141,0.901486,-0.011455
50036_cc200,L_no_boot,3141,0.950418,0.037477
50036_cc200,L_no_prior,3141,0.878399,-0.034542
50036_cc200,L_no_atten,3141,0.948905,0.035964
50037_cc200,L_full,2026,0.887478,0.000000
50037_cc200,L_no_sb,2026,0.799733,-0.087745
50037_cc200,L_no_lw,2026,0.871378,-0.016100
50037_cc200,L_no_boot,2026,0.938327,0.050849
50037_cc200,L_no_prior,2026,0.850900,-0.036578
50037_cc200,L_no_atten,2026,0.928982,0.041504
50037_cc200,L_full,9999,0.882490,0.000000
50037_cc200,L_no_sb,9999,0.796215,-0.086275
50037_cc200,L_no_lw,9999,0.888652,0.006162
50037_cc200,L_no_boot,9999,0.938327,0.055837
